   x    V1    V2
0.780000 98603905941099159056136507965730306386240833800370184809532952908651290615562281485308545895578429371970119328774234804613111236622414774272.000000 nan 
0.790000 187055886693671079155407759874641424249735444871396115202257819445620422627086861374761217089946174361220103038800643027943820885623278927872.000000 nan 
0.800000 354023889052498762681042371106259113681396303356422569656945309929278876005622775821565062291329517337230689503496632409926295206034914934784.000000 nan 
0.810000 668294804793658102736870859777709938802701485357330286287366057554834891479153370569774849724932575168799107662150312699924153706353837211648.000000 nan 
0.820000 1257904444281373027504808142643609260790486339195829195078744551429879495178759843800130429299828334594340553934768967752950913989107580403712.000000 nan 
0.830000 2360018350677079948730194327923920634183321456523782316468252958158987556546950501412216583188671050770109589371693897320284278335381857894400.000000 nan 
0.840000 4411469259315507982318303179138971283697455450783765179430503211789247103133019693892278236865047180257518798497395679305560929105129613819904.000000 nan 
0.850000 8211498041697815747795978649463200154387013992437107525933761322853644081947545583581305406797679073061282500253505362227824645966329324503040.000000 nan 
0.860000 15210764193951669835230313363113636831244068421732453242333649947616545942300198212787615287682007786645431686413184929377904057468117546172416.000000 nan 
0.870000 28016751206840040287744644004863977418099494595910003425858058179973418503506670552398327234734248889222459319835449900538057952885946263273472.000000 nan 
0.880000 51259866607322446990748495280787281720632361008797680353065819283655732211897903169779502403659723103558387942358987683269190287197240335269888.000000 nan 
0.890000 93036991937912868503310829823257422801409816181468415089592193157044508423123031836333650546685370556235527632042937541297000295796973907214336.000000 nan 
0.900000 167222285812134017931204942059319882024109798661333139160385402675760157369314520069058047447876569662511090242310569434460322578301349041012736.000000 nan 
0.910000 296937132971296024608618486065504839720140759098577803239025517599362222268137831303554902711037433148627730514849130346168659517877133550551040.000000 nan 
0.920000 519186495969009498381934448565142006705321125098510273569475706742532705241761278569825215352461547974727910380475176147035613208553798072532992.000000 nan 
0.930000 889519949668171396334431102806231747280242625477148226851761320796393185911163176399598567352100555635955000640198547491893390898109136834134016.000000 nan 
0.940000 1482113302226862261918913232669175810552260682918284651548006974031408352219209040326601432056485646368194796821898468155848266820742701738098688.000000 nan 
0.950000 2371401458474915844542169253394668521398391038657846967829306416173869720037388810281691710584497511515222152350375186948375596526519133149331456.000000 nan 
0.960000 3558155454097947549293311804720289133694027669624449701400996842020381025310966540087434038104630737125675878029862222005002841027935878294536192.000000 nan 
0.970000 4746948912412254229537007513657268340491043875555884724340552975947111709455103394259364044590820738423513738793459816928318042789000293249974272.000000 nan 
0.980000 4750994664511850617870684356223450542017902738116856835732326537163473838512592623694601864246176669724721623058756538918977922169608707799777280.000000 nan 
0.990000 0.000000 0.000000 
