x_mat     x2
0.0373963    0.27488
0.0374963    0.275468
0.0375962    0.276056
0.0376962    0.276643
0.0377962    0.277229
0.0378962    0.277814
0.0379962    0.278399
0.0380962    0.278983
0.0381962    0.279567
0.0382962    0.280149
0.0383962    0.280731
0.0384962    0.281313
0.0385961    0.281893
0.0386961    0.282473
0.0387961    0.283053
0.0388961    0.283631
0.0389961    0.284209
0.0390961    0.284787
0.0391961    0.285363
0.0392961    0.285939
0.0393961    0.286514
0.0394961    0.287089
0.039596    0.287663
0.039696    0.288236
0.039796    0.288809
0.039896    0.289381
0.039996    0.289952
0.040096    0.290522
0.040196    0.291092
0.040296    0.291661
0.040396    0.29223
0.040496    0.292798
0.0405959    0.293365
0.0406959    0.293931
0.0407959    0.294497
0.0408959    0.295063
0.0409959    0.295627
0.0410959    0.296191
0.0411959    0.296754
0.0412959    0.297317
0.0413959    0.297879
0.0414959    0.29844
0.0415958    0.299
0.0416958    0.29956
0.0417958    0.300119
0.0418958    0.300678
0.0419958    0.301236
0.0420958    0.301793
0.0421958    0.30235
0.0422958    0.302906
0.0423958    0.303461
0.0424958    0.304016
0.0425957    0.30457
0.0426957    0.305123
0.0427957    0.305676
0.0428957    0.306228
0.0429957    0.306779
0.0430957    0.30733
0.0431957    0.30788
0.0432957    0.308429
0.0433957    0.308978
0.0434957    0.309526
0.0435956    0.310074
0.0436956    0.310621
0.0437956    0.311167
0.0438956    0.311712
0.0439956    0.312257
0.0440956    0.312801
0.0441956    0.313345
0.0442956    0.313888
0.0443956    0.31443
0.0444956    0.314972
0.0445955    0.315513
0.0446955    0.316053
0.0447955    0.316593
0.0448955    0.317132
0.0449955    0.317671
0.0450955    0.318209
0.0451955    0.318746
0.0452955    0.319282
0.0453955    0.319818
0.0454955    0.320354
0.0455954    0.320888
0.0456954    0.321422
0.0457954    0.321956
0.0458954    0.322488
0.0459954    0.32302
0.0460954    0.323552
0.0461954    0.324083
0.0462954    0.324613
0.0463954    0.325143
0.0464954    0.325672
0.0465953    0.3262
0.0466953    0.326728
0.0467953    0.327255
0.0468953    0.327781
0.0469953    0.328307
0.0470953    0.328832
0.0471953    0.329357
0.0472953    0.329881
0.0473953    0.330404
0.0474953    0.330927
0.0475952    0.331449
0.0476952    0.33197
0.0477952    0.332491
0.0478952    0.333011
0.0479952    0.333531
0.0480952    0.33405
0.0481952    0.334568
0.0482952    0.335086
0.0483952    0.335603
0.0484952    0.33612
0.0485951    0.336636
0.0486951    0.337151
0.0487951    0.337666
0.0488951    0.33818
0.0489951    0.338693
0.0490951    0.339206
0.0491951    0.339718
0.0492951    0.34023
0.0493951    0.340741
0.0494951    0.341251
0.049595    0.341761
0.049695    0.34227
0.049795    0.342779
0.049895    0.343287
0.049995    0.343794
0.050095    0.344301
0.050195    0.344807
0.050295    0.345312
0.050395    0.345817
0.050495    0.346321
0.0505949    0.346825
0.0506949    0.347328
0.0507949    0.347831
0.0508949    0.348333
0.0509949    0.348834
0.0510949    0.349335
0.0511949    0.349835
0.0512949    0.350334
0.0513949    0.350833
0.0514949    0.351331
0.0515948    0.351829
0.0516948    0.352326
0.0517948    0.352823
0.0518948    0.353319
0.0519948    0.353814
0.0520948    0.354309
0.0521948    0.354803
0.0522948    0.355296
0.0523948    0.355789
0.0524948    0.356282
0.0525947    0.356773
0.0526947    0.357264
0.0527947    0.357755
0.0528947    0.358245
0.0529947    0.358734
0.0530947    0.359223
0.0531947    0.359711
0.0532947    0.360199
0.0533947    0.360686
0.0534947    0.361172
0.0535946    0.361658
0.0536946    0.362144
0.0537946    0.362628
0.0538946    0.363112
0.0539946    0.363596
0.0540946    0.364079
0.0541946    0.364561
0.0542946    0.365043
0.0543946    0.365524
0.0544946    0.366005
0.0545945    0.366485
0.0546945    0.366964
0.0547945    0.367443
0.0548945    0.367921
0.0549945    0.368399
0.0550945    0.368876
0.0551945    0.369353
0.0552945    0.369829
0.0553945    0.370304
0.0554945    0.370779
0.0555944    0.371253
0.0556944    0.371727
0.0557944    0.3722
0.0558944    0.372673
0.0559944    0.373145
0.0560944    0.373616
0.0561944    0.374087
0.0562944    0.374557
0.0563944    0.375027
0.0564944    0.375496
0.0565943    0.375964
0.0566943    0.376432
0.0567943    0.3769
0.0568943    0.377367
0.0569943    0.377833
0.0570943    0.378299
0.0571943    0.378764
0.0572943    0.379228
0.0573943    0.379692
0.0574943    0.380156
0.0575942    0.380619
0.0576942    0.381081
0.0577942    0.381543
0.0578942    0.382004
0.0579942    0.382465
0.0580942    0.382925
0.0581942    0.383384
0.0582942    0.383843
0.0583942    0.384302
0.0584942    0.384759
0.0585941    0.385217
0.0586941    0.385673
0.0587941    0.38613
0.0588941    0.386585
0.0589941    0.38704
0.0590941    0.387495
0.0591941    0.387949
0.0592941    0.388402
0.0593941    0.388855
0.0594941    0.389307
0.059594    0.389759
0.059694    0.39021
0.059794    0.390661
0.059894    0.391111
0.059994    0.391561
0.060094    0.392009
0.060194    0.392458
0.060294    0.392906
0.060394    0.393353
0.060494    0.3938
0.0605939    0.394246
0.0606939    0.394692
0.0607939    0.395137
0.0608939    0.395582
0.0609939    0.396026
0.0610939    0.396469
0.0611939    0.396912
0.0612939    0.397355
0.0613939    0.397797
0.0614939    0.398238
0.0615938    0.398679
0.0616938    0.399119
0.0617938    0.399559
0.0618938    0.399998
0.0619938    0.400437
0.0620938    0.400875
0.0621938    0.401312
0.0622938    0.401749
0.0623938    0.402186
0.0624938    0.402622
0.0625937    0.403057
0.0626937    0.403492
0.0627937    0.403927
0.0628937    0.40436
0.0629937    0.404794
0.0630937    0.405226
0.0631937    0.405659
0.0632937    0.40609
0.0633937    0.406522
0.0634937    0.406952
0.0635936    0.407382
0.0636936    0.407812
0.0637936    0.408241
0.0638936    0.408669
0.0639936    0.409097
0.0640936    0.409525
0.0641936    0.409952
0.0642936    0.410378
0.0643936    0.410804
0.0644936    0.411229
0.0645935    0.411654
0.0646935    0.412079
0.0647935    0.412502
0.0648935    0.412926
0.0649935    0.413348
0.0650935    0.413771
0.0651935    0.414192
0.0652935    0.414613
0.0653935    0.415034
0.0654935    0.415454
0.0655934    0.415874
0.0656934    0.416293
0.0657934    0.416711
0.0658934    0.41713
0.0659934    0.417547
0.0660934    0.417964
0.0661934    0.418381
0.0662934    0.418797
0.0663934    0.419212
0.0664934    0.419627
0.0665933    0.420041
0.0666933    0.420455
0.0667933    0.420869
0.0668933    0.421282
0.0669933    0.421694
0.0670933    0.422106
0.0671933    0.422517
0.0672933    0.422928
0.0673933    0.423338
0.0674933    0.423748
0.0675932    0.424158
0.0676932    0.424566
0.0677932    0.424975
0.0678932    0.425383
0.0679932    0.42579
0.0680932    0.426197
0.0681932    0.426603
0.0682932    0.427009
0.0683932    0.427414
0.0684932    0.427819
0.0685931    0.428223
0.0686931    0.428627
0.0687931    0.42903
0.0688931    0.429433
0.0689931    0.429835
0.0690931    0.430237
0.0691931    0.430638
0.0692931    0.431039
0.0693931    0.431439
0.0694931    0.431839
0.069593    0.432238
0.069693    0.432636
0.069793    0.433035
0.069893    0.433432
0.069993    0.43383
0.070093    0.434226
0.070193    0.434623
0.070293    0.435018
0.070393    0.435414
0.070493    0.435808
0.0705929    0.436203
0.0706929    0.436597
0.0707929    0.43699
0.0708929    0.437383
0.0709929    0.437775
0.0710929    0.438167
0.0711929    0.438558
0.0712929    0.438949
0.0713929    0.439339
