   x    v    u    error 
     0.02030      0.16341      0.16341     -7.07483 
     0.02040      0.16412      0.16412     -7.07483 
     0.02050      0.16484      0.16484     -7.07483 
     0.02060      0.16555      0.16555     -7.07482 
     0.02070      0.16627      0.16627     -7.07482 
     0.02080      0.16698      0.16698     -7.07482 
     0.02090      0.16769      0.16769     -7.07482 
     0.02100      0.16840      0.16840     -7.07482 
     0.02110      0.16911      0.16911     -7.07481 
     0.02120      0.16982      0.16982     -7.07481 
     0.02130      0.17053      0.17053     -7.07481 
     0.02140      0.17124      0.17124     -7.07481 
     0.02150      0.17194      0.17194     -7.07480 
     0.02160      0.17265      0.17265     -7.07480 
     0.02170      0.17336      0.17336     -7.07480 
     0.02180      0.17406      0.17406     -7.07480 
     0.02190      0.17476      0.17476     -7.07479 
     0.02200      0.17547      0.17547     -7.07479 
     0.02210      0.17617      0.17617     -7.07479 
     0.02220      0.17687      0.17687     -7.07479 
     0.02230      0.17757      0.17757     -7.07478 
     0.02240      0.17827      0.17827     -7.07478 
     0.02250      0.17897      0.17897     -7.07478 
     0.02260      0.17967      0.17967     -7.07478 
     0.02270      0.18036      0.18036     -7.07477 
     0.02280      0.18106      0.18106     -7.07477 
     0.02290      0.18176      0.18176     -7.07477 
     0.02300      0.18245      0.18245     -7.07477 
     0.02310      0.18315      0.18315     -7.07476 
     0.02320      0.18384      0.18384     -7.07476 
     0.02330      0.18453      0.18453     -7.07476 
     0.02340      0.18522      0.18522     -7.07476 
     0.02350      0.18591      0.18591     -7.07475 
     0.02360      0.18660      0.18660     -7.07475 
     0.02370      0.18729      0.18729     -7.07475 
     0.02380      0.18798      0.18798     -7.07475 
     0.02390      0.18867      0.18867     -7.07474 
     0.02400      0.18936      0.18936     -7.07474 
     0.02410      0.19004      0.19004     -7.07474 
     0.02420      0.19073      0.19073     -7.07474 
     0.02430      0.19141      0.19141     -7.07474 
     0.02440      0.19210      0.19210     -7.07473 
     0.02450      0.19278      0.19278     -7.07473 
     0.02460      0.19346      0.19346     -7.07473 
     0.02470      0.19414      0.19414     -7.07473 
     0.02480      0.19482      0.19482     -7.07472 
     0.02490      0.19550      0.19550     -7.07472 
     0.02500      0.19618      0.19618     -7.07472 
     0.02510      0.19686      0.19686     -7.07472 
     0.02520      0.19754      0.19754     -7.07471 
     0.02530      0.19822      0.19822     -7.07471 
     0.02540      0.19889      0.19889     -7.07471 
     0.02550      0.19957      0.19957     -7.07471 
     0.02560      0.20024      0.20024     -7.07470 
     0.02570      0.20092      0.20092     -7.07470 
     0.02580      0.20159      0.20159     -7.07470 
     0.02590      0.20226      0.20226     -7.07470 
     0.02600      0.20293      0.20293     -7.07469 
     0.02610      0.20360      0.20360     -7.07469 
     0.02620      0.20427      0.20427     -7.07469 
     0.02630      0.20494      0.20494     -7.07469 
     0.02640      0.20561      0.20561     -7.07468 
     0.02650      0.20628      0.20628     -7.07468 
     0.02660      0.20694      0.20694     -7.07468 
     0.02670      0.20761      0.20761     -7.07468 
     0.02680      0.20828      0.20828     -7.07467 
     0.02690      0.20894      0.20894     -7.07467 
     0.02700      0.20960      0.20960     -7.07467 
     0.02710      0.21027      0.21027     -7.07467 
     0.02720      0.21093      0.21093     -7.07466 
     0.02730      0.21159      0.21159     -7.07466 
     0.02740      0.21225      0.21225     -7.07466 
     0.02750      0.21291      0.21291     -7.07466 
     0.02760      0.21357      0.21357     -7.07465 
     0.02770      0.21423      0.21423     -7.07465 
     0.02780      0.21489      0.21489     -7.07465 
     0.02790      0.21554      0.21554     -7.07465 
     0.02800      0.21620      0.21620     -7.07464 
     0.02810      0.21685      0.21685     -7.07464 
     0.02820      0.21751      0.21751     -7.07464 
